"","Season","name","System","Implementing agency","Unit type","total"
"245","Spring-2020","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",3839
"246","Spring-2021","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",3116
"247","Summer-2018","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",26776
"248","Summer-2019","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",17903
"249","Summer-2020","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",11383
"250","Summer-2021","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",7640
"251","Winter-2018","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",5838
"252","Winter-2019","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",2205
"253","Winter-2020","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",1787
"254","Winter-2021","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",872
"255","Winter-2022","Forestville/Mystery Cave State Park","Department of Natural Resources State Park","DNR","State Park",288
"256","Fall-2018","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",2886
"257","Fall-2019","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4816
"258","Fall-2020","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3645
"259","Fall-2021","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4265
"260","Spring-2018","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3972
"261","Spring-2019","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3423
"262","Spring-2020","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4209
"263","Spring-2021","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3711
"264","Summer-2018","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",10619
"265","Summer-2019","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",6939
"266","Summer-2020","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",7166
"267","Summer-2021","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",4624
"268","Winter-2018","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",3826
"269","Winter-2019","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1888
"270","Winter-2020","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1912
"271","Winter-2021","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",1411
"272","Winter-2022","Fort Ridgely State Park","Department of Natural Resources State Park","DNR","State Park",376
"273","Fall-2018","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",29401
"274","Fall-2019","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",19768
"275","Fall-2020","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",46707
"276","Fall-2021","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",35452
"277","Spring-2018","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",36406
"278","Spring-2019","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",11135
"279","Spring-2020","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",51146
"280","Spring-2021","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",41815
"281","Summer-2018","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",44579
"282","Summer-2019","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",12222
"283","Summer-2020","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",76563
"284","Summer-2021","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",53950
"285","Winter-2018","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",24879
"286","Winter-2019","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",21488
"287","Winter-2020","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",16454
"288","Winter-2021","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",26418
"289","Winter-2022","Fort Snelling State Park","Department of Natural Resources State Park","DNR","State Park",3510
"290","Fall-2018","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1625
"291","Fall-2019","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1423
"292","Fall-2020","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1097
"293","Fall-2021","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1098
"294","Spring-2018","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1435
"295","Spring-2019","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",638
"296","Spring-2020","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",972
"297","Spring-2021","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1807
"298","Summer-2018","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",2975
"299","Summer-2019","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1771
"300","Summer-2020","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1662
"301","Summer-2021","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1861
"302","Winter-2018","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1260
"303","Winter-2019","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",1153
"304","Winter-2020","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",818
"305","Winter-2021","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",748
"306","Winter-2022","Franz Jevne State Park","Department of Natural Resources State Park","DNR","State Park",330
"307","Fall-2018","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",15925
"308","Fall-2019","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",19269
"309","Fall-2020","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",33334
"310","Fall-2021","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",14378
"311","Spring-2018","Frontenac State Park","Department of Natural Resources State Park","DNR","State Park",11224
