"Park name","System","Implementing agency","Unit type","Core park","Season","Vehicle visits"
"Battle Creek","Metropolitan Regional Park System","Ramsey County Parks and Recreation","Regional Park",TRUE,"Winter-2022",11404
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Fall-2018",8204
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Fall-2019",5792
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Fall-2020",4930
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Fall-2021",6400
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Spring-2018",5473
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Spring-2019",3193
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Spring-2020",6691
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Spring-2021",4819
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Summer-2018",13646
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Summer-2019",12041
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Summer-2020",14279
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Summer-2021",14031
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Winter-2018",1800
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Winter-2019",1641
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Winter-2020",1953
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Winter-2021",3107
"Baylor","Metropolitan Regional Park System","Carver County Parks and Recreation","Regional Park",TRUE,"Winter-2022",229
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2018",13122
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2019",12245
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2020",14382
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Fall-2021",10052
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2018",11010
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2019",9790
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2020",2987
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Spring-2021",12570
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2018",50244
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2019",43516
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2020",33598
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Summer-2021",32345
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2018",5170
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2019",4180
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2020",6244
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2021",4219
"Bear Head Lake","Department of Natural Resources State Park","DNR","State Park",TRUE,"Winter-2022",280
